"id","entity_id","component_id","component_type","field","order"
601,575,631,point.anchor-point,firstAnchorPoint,0
602,576,632,point.anchor-point,firstAnchorPoint,0
603,577,633,point.anchor-point,firstAnchorPoint,0
604,578,634,point.anchor-point,firstAnchorPoint,0
605,579,635,point.anchor-point,firstAnchorPoint,0
607,581,637,point.anchor-point,firstAnchorPoint,0
608,582,638,point.anchor-point,firstAnchorPoint,0
609,583,639,point.anchor-point,firstAnchorPoint,0
610,584,640,point.anchor-point,firstAnchorPoint,0
611,585,641,point.anchor-point,firstAnchorPoint,0
612,586,642,point.anchor-point,firstAnchorPoint,0
614,588,644,point.anchor-point,firstAnchorPoint,0
615,589,645,point.anchor-point,firstAnchorPoint,0
616,590,646,point.anchor-point,firstAnchorPoint,0
617,591,647,point.anchor-point,firstAnchorPoint,0
618,592,648,point.anchor-point,firstAnchorPoint,0
1172,571,623,point.anchor-point,firstAnchorPoint,1
620,594,650,point.anchor-point,firstAnchorPoint,0
621,595,651,point.anchor-point,firstAnchorPoint,0
622,596,652,point.anchor-point,firstAnchorPoint,0
623,597,653,point.anchor-point,firstAnchorPoint,0
624,598,654,point.anchor-point,firstAnchorPoint,0
625,599,655,point.anchor-point,firstAnchorPoint,0
626,600,656,point.anchor-point,firstAnchorPoint,0
627,601,657,point.anchor-point,firstAnchorPoint,0
628,602,658,point.anchor-point,firstAnchorPoint,0
629,603,659,point.anchor-point,firstAnchorPoint,0
630,604,660,point.anchor-point,firstAnchorPoint,0
631,605,661,point.anchor-point,firstAnchorPoint,0
1173,757,946,point.anchor-point,firstAnchorPoint,1
1174,757,947,point.anchor-point,secondAnchorPoint,1
1175,757,948,point.anchor-point,carParking,1
1176,587,643,point.anchor-point,firstAnchorPoint,1
1177,580,636,point.anchor-point,firstAnchorPoint,1
638,608,668,point.anchor-point,firstAnchorPoint,0
639,609,669,point.anchor-point,firstAnchorPoint,0
640,610,670,point.anchor-point,firstAnchorPoint,0
641,611,671,point.anchor-point,firstAnchorPoint,0
642,612,672,point.anchor-point,firstAnchorPoint,0
643,613,673,point.anchor-point,firstAnchorPoint,0
644,614,674,point.anchor-point,firstAnchorPoint,0
645,615,675,point.anchor-point,firstAnchorPoint,0
646,616,676,point.anchor-point,firstAnchorPoint,0
647,617,677,point.anchor-point,firstAnchorPoint,0
648,618,678,point.anchor-point,firstAnchorPoint,0
649,619,679,point.anchor-point,firstAnchorPoint,0
650,620,680,point.anchor-point,firstAnchorPoint,0
651,621,681,point.anchor-point,firstAnchorPoint,0
652,622,682,point.anchor-point,firstAnchorPoint,0
653,623,683,point.anchor-point,firstAnchorPoint,0
654,624,684,point.anchor-point,firstAnchorPoint,0
658,626,688,point.anchor-point,firstAnchorPoint,0
659,628,689,point.anchor-point,firstAnchorPoint,0
660,629,690,point.anchor-point,firstAnchorPoint,0
661,630,691,point.anchor-point,firstAnchorPoint,0
662,631,692,point.anchor-point,firstAnchorPoint,0
663,631,693,point.anchor-point,secondAnchorPoint,0
664,631,694,point.anchor-point,carParking,0
665,632,695,point.anchor-point,firstAnchorPoint,0
666,633,696,point.anchor-point,firstAnchorPoint,0
667,634,697,point.anchor-point,firstAnchorPoint,0
668,635,698,point.anchor-point,firstAnchorPoint,0
669,636,699,point.anchor-point,firstAnchorPoint,0
676,639,706,point.anchor-point,firstAnchorPoint,0
677,640,707,point.anchor-point,firstAnchorPoint,0
678,641,708,point.anchor-point,firstAnchorPoint,0
679,642,709,point.anchor-point,firstAnchorPoint,0
680,642,710,point.anchor-point,secondAnchorPoint,0
681,642,711,point.anchor-point,carParking,0
682,644,712,point.anchor-point,firstAnchorPoint,0
683,646,713,point.anchor-point,firstAnchorPoint,0
684,647,714,point.anchor-point,firstAnchorPoint,0
685,648,715,point.anchor-point,firstAnchorPoint,0
686,649,716,point.anchor-point,firstAnchorPoint,0
687,650,717,point.anchor-point,firstAnchorPoint,0
688,651,718,point.anchor-point,firstAnchorPoint,0
689,652,719,point.anchor-point,firstAnchorPoint,0
690,653,720,point.anchor-point,firstAnchorPoint,0
691,654,721,point.anchor-point,firstAnchorPoint,0
692,655,722,point.anchor-point,firstAnchorPoint,0
693,656,723,point.anchor-point,firstAnchorPoint,0
697,658,727,point.anchor-point,firstAnchorPoint,0
698,659,728,point.anchor-point,firstAnchorPoint,0
699,659,729,point.anchor-point,secondAnchorPoint,0
700,659,730,point.anchor-point,carParking,0
701,660,731,point.anchor-point,firstAnchorPoint,0
702,661,732,point.anchor-point,firstAnchorPoint,0
703,662,733,point.anchor-point,firstAnchorPoint,0
704,663,734,point.anchor-point,firstAnchorPoint,0
575,561,605,point.anchor-point,firstAnchorPoint,0
576,562,606,point.anchor-point,firstAnchorPoint,0
577,563,607,point.anchor-point,firstAnchorPoint,0
1178,712,811,point.anchor-point,firstAnchorPoint,1
1179,712,812,point.anchor-point,secondAnchorPoint,1
1180,712,813,point.anchor-point,carParking,1
581,565,611,point.anchor-point,firstAnchorPoint,0
582,565,612,point.anchor-point,secondAnchorPoint,0
583,565,613,point.anchor-point,carParking,0
1181,774,997,point.anchor-point,firstAnchorPoint,1
1182,774,998,point.anchor-point,secondAnchorPoint,1
1183,774,999,point.anchor-point,carParking,1
587,567,617,point.anchor-point,firstAnchorPoint,0
588,568,618,point.anchor-point,firstAnchorPoint,0
589,569,619,point.anchor-point,firstAnchorPoint,0
590,569,620,point.anchor-point,secondAnchorPoint,0
591,569,621,point.anchor-point,carParking,0
1184,763,964,point.anchor-point,firstAnchorPoint,1
1185,763,965,point.anchor-point,secondAnchorPoint,1
1186,763,966,point.anchor-point,carParking,1
1187,778,1009,point.anchor-point,firstAnchorPoint,1
1188,778,1010,point.anchor-point,secondAnchorPoint,1
705,664,735,point.anchor-point,firstAnchorPoint,0
706,665,736,point.anchor-point,firstAnchorPoint,0
707,666,737,point.anchor-point,firstAnchorPoint,0
708,667,738,point.anchor-point,firstAnchorPoint,0
709,668,739,point.anchor-point,firstAnchorPoint,0
710,669,740,point.anchor-point,firstAnchorPoint,0
711,670,741,point.anchor-point,firstAnchorPoint,0
712,671,742,point.anchor-point,firstAnchorPoint,0
713,672,743,point.anchor-point,firstAnchorPoint,0
714,673,744,point.anchor-point,firstAnchorPoint,0
715,674,745,point.anchor-point,firstAnchorPoint,0
716,675,746,point.anchor-point,firstAnchorPoint,0
717,675,747,point.anchor-point,secondAnchorPoint,0
718,675,748,point.anchor-point,carParking,0
719,676,749,point.anchor-point,firstAnchorPoint,0
720,677,750,point.anchor-point,firstAnchorPoint,0
1189,778,1011,point.anchor-point,carParking,1
1190,756,943,point.anchor-point,firstAnchorPoint,1
1191,756,944,point.anchor-point,secondAnchorPoint,1
724,679,754,point.anchor-point,firstAnchorPoint,0
725,680,755,point.anchor-point,firstAnchorPoint,0
726,681,756,point.anchor-point,firstAnchorPoint,0
727,682,757,point.anchor-point,firstAnchorPoint,0
728,683,758,point.anchor-point,firstAnchorPoint,0
1192,756,945,point.anchor-point,carParking,1
1193,761,958,point.anchor-point,firstAnchorPoint,1
1194,761,959,point.anchor-point,secondAnchorPoint,1
735,686,765,point.anchor-point,firstAnchorPoint,0
736,687,766,point.anchor-point,firstAnchorPoint,0
1195,761,960,point.anchor-point,carParking,1
738,689,768,point.anchor-point,firstAnchorPoint,0
739,690,769,point.anchor-point,firstAnchorPoint,0
740,691,770,point.anchor-point,firstAnchorPoint,0
741,692,771,point.anchor-point,firstAnchorPoint,0
