"id","name","description","state","region","sector","length","height","author","name_history","date_tense","date_insertion","time_approach","time_tensioning","rating","created_at","updated_at","published_at","created_by_id","updated_by_id"
576,Urban Červený Harcov,"Kotvení Most(trubky) -&gt; Strom, ideální lajna pro začátky nebo párty na mostě spojené se skákáním z mostu :-)",Česká republika,Liberecký,"Liberec, Koleje Harcov",23,12,stanely,,2010-06-19,,,,1,,,,,
584,Kozatá,"",Česká republika,Ústecký,Bořeň,29,20,Kwjet,,2009-04-02,,,,3,,2022-10-22 13:11:29.610,2022-10-22 13:11:29.604,,1
578,Tyršovská,kotvení za konstrukci,Česká republika,Plzeňský,Plzeň,35,10,Tomáš Komínek & Michal ,,2009-10-05,,,,1,,,,,
579,Železniční,kotvení za konstrukci,Česká republika,Plzeňský,Plzeň,10,10,Honzís,,2010-01-30,,,,1,,,,,
581,Pilíře,"",Česká republika,Plzeňský,Plzeň,52,8,Honzís,,2008-07-20,,,,1,,,,,
582,Lost Arrow Spire Classic,"Prvni prelez: Scott Balcom - 1985

Kotveni na jednej strane (big flake) - friendy, heksy + 1 nyt. Kotveni na vezi - nyty",USA,CA,Yosemite,17,880,Daemon,,2010-06-21,,,,5,,,,,
583,Vypálený chodidla,"HL vede ze Lvíčka na Sokola. Na Lvíčka přeskokem za II. Na Sokola doporučuju Údolní stěnu za VI. Kotvení: Na Lvíčkovi obhozenej blok (dva spojený čtyřmetrový spamsety). Na Sokoloj ovázaná borovice, back-up dojištenej za slaňák, lajna přitažená k dobíráku. NENAPÍNAT JENOM ZA DOBÍRÁK !!! NELÉZT PO DEŠTI! ",Česká republika,Středočeský,Drábky,23,25,"",,2010-07-12,,,,3,,,,,
587,Kružberkská vrtule,"Pravděpodobně první hajlajna v širším okolí opavy, prvním výjezdem nepokořena.

Kotvení lajny za borovice, lano dojištěno friendy, vklíněnci, smyčkami...

",Česká republika,Moravskoslezský,Kružberk,26,20,ondra a matesh,,2010-07-21,,,,2,,2022-10-22 13:13:40.890,2022-10-22 13:13:40.884,,1
588,Malej Huhulák,"vede z Morice na Soví věž
kotvení: 3 m spanset (ideálně víc) na každý straně na obhození šutrů (dávat bacha, aby se spansety nevysmekly)",Česká republika,Vysočina,Himmelreich,33,15,Kwjet,,2010-07-16,,,,2,,,,,
580,Kulturní,"kotvení za konstrukci, 
montáž ze servisních-pohyblivých lávek",Česká republika,Plzeňský,Plzeň,16,10,Honzís,,2010-05-23,,,,1,,2022-10-22 13:14:24.356,2022-10-22 13:14:24.348,,1
